Acre | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Acrel&acirc;ndia,1200013,acrelandense,OLAVO FRANCELINO DE REZENDE,1811.621,14021,7.74,14657,95.1,0.604,-,76142104.33,80420642.13,25362.56,
Assis Brasil,1200054,assis-brasiliense,JERRY CORREIA MARINHO,4962.946,8100,1.63,8573,85.1,0.588,7.78,65283685.95,56110168.09,17507.67,
Brasil&eacute;ia,1200104,brasileense,CARLOS ARMANDO DE SOUZA ALVES,3928.820,26000,6.62,27841,90.2,0.614,5.78,161313561.7,157193866.58,25278.78,
Bujari,1200138,bujariense,JO&Atilde;O EDVALDO TELES DE LIMA,3035.547,12917,4.26,13766,91.1,0.589,19.53,54428900.53,57083230.68,28455.38,
Capixaba,1200179,capixabense,MANOEL MAIA BESERRA,1705.236,10392,6.09,10922,92.6,0.575,11.11,67062863.88,61763845.64,41722.55,
Cruzeiro do Sul,1200203,cruzeirense,JOS&Eacute; DE SOUZA LIMA,8793.341,91888,10.46,98382,94.9,0.664,16.22,445844810.07,445875701.42,22934.82,
Epitaciol&acirc;ndia,1200252,epitaciolandense,S&Eacute;RGIO LOPES DE SOUZA,1652.715,18757,11.35,19739,93.7,0.653,21.35,108661757.58,105987618.71,33960.77,
Feij&oacute;,1200302,feijoense,RAILSON FERREIRA DA SILVA,27946.605,35426,1.27,37644,82.9,0.539,24.76,128746956.82,126570966.9,16207.64,
Jord&atilde;o,1200328,jord&atilde;oense,FRANCISCO NAUDINO RIBEIRO SOUZA,5346.443,9222,1.72,9787,71.3,0.469,14.55,79861496.85,71691520.81,13209.92,
M&acirc;ncio Lima,1200336,mancio-limense,JOSE LUIZ GOMES DA COSTA,5414.070,19294,3.54,20329,94.9,0.625,8.47,109673022.76,98123142.95,13704.87,
Manoel Urbano,1200344,manoel-urbanense,RAIMUNDO TOSCANO VELOZO,10578.248,11996,1.13,12776,78,0.551,34.72,69536253.45,61083326.1,19060.27,
Marechal Thaumaturgo,1200351,thaumaturguense,VALDELIO JOSE DO NASCIMENTO FURTADO,8185.635,17093,2.09,17951,90.8,0.501,-,124277411.29,114215514.4,13020.98,
Pl&aacute;cido de Castro,1200385,placidiano,CAMILO DA SILVA,1952.531,16560,8.48,17127,93.6,0.622,20.08,96954785.67,93835651.85,29854.1,
Porto Walter,1200393,portowaltense,SEBASTI&Atilde;O NOGUEIRA DE ANDRADE,6452.756,10735,1.67,11275,93.3,0.532,13.27,82685241.53,81988216.31,12845.86,
Rio Branco,1200401,rio-branquense,SEBASTIAO BOCALOM RODRIGUES,8834.831,364756,41.28,387852,95.1,0.727,16.9,2158494284.6,2121134750.79,26119.02,
Rodrigues Alves,1200427,rodriguesalvense,SALATIEL PINHEIRO MAGALHAES,3082.398,14938,4.86,15537,94.6,0.567,10.53,113495853.37,107643497.99,12933.1,
Santa Rosa do Purus,1200435,santarosense,JOSE ALTAMIR TAUMATURGO S&Aacute;,6222.340,6723,1.09,7143,63.8,0.517,69.65,52387883.24,51432221.26,15747.15,
Senador Guiomard,1200450,guiomaense,ROSANA PEREIRA DA SILVA,2320.946,21454,9.25,22352,95.6,0.640,8.67,101479493.84,102691011.78,33253.93,
Sena Madureira,1200500,sena-madureirense,GEHLEN DINIZ ANDRADE,23732.205,41343,1.74,43916,85.4,0.603,16.6,224120764.92,203900200.73,15860.21,
Tarauac&aacute;,1200609,tarauacaense,RODRIGO DAMASCENO CAT&Atilde;O,20169.485,43467,2.16,46517,85.6,0.539,26.55,177529596.29,173541008.94,16279.09,
Xapuri,1200708,xapuriense,MAXSUEL MAIA PEREIRA,5350.300,18243,3.41,19090,87.7,0.599,13.16,87820132.28,80922981.35,22902.48,
Porto Acre,1200807,portoacrense,MAXIMO ANTONIO DE SOUZA DA COSTA,2603.942,16693,6.41,17455,90.4,0.576,5.83,79904272.72,74913380.69,24623.3,

<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023</td></tr><tr><td>Popula&ccedil;&atilde;o no &uacute;ltimo censo: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Densidade demogr&aacute;fica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Popula&ccedil;&atilde;o estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2024</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2022</td></tr><tr><td>Total de receitas brutas realizadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>Total de despesas brutas empenhadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>