Bahia | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Abaíra,2900108,abairense,WELLINGTON BARBOSA SILVA,538.677,7301,13.55,7452,97.2,0.603,18.18,41373114.77,36196946.7,8086.04,
Abaré,2900207,abareense,EMANOEL MESCIAS MENEZES DE ANDRADE,1604.923,17639,10.99,18240,96.5,0.575,13.51,104917117.66,97662747.33,10127.1,
Acajutiba,2900306,acajutibense,JADIEL SOUZA JESUS,181.475,13795,76.02,14215,98,0.582,26.85,116120415.93,114159475.08,9499.76,
Adustina,2900355,adustinense,JOTA JUNIOR GONÇALVES,629.100,14201,22.57,14554,98.1,0.546,-,114022406.45,98603379.16,13986.28,
Água Fria,2900405,água-friense,RENAN ARAUJO BARROS,742.775,14497,19.52,14871,97,0.550,12.82,73397340.01,93720377.69,9269.33,
Érico Cardoso,2900504,érico-cardosense,ERALDO FÉLIX DA SILVA,735.249,10604,14.42,10948,98.8,0.584,21.51,53133336.7,50328616.35,7425.41,
Aiquara,2900603,aiquarense,VALERIA RIBEIRO SANTOS,167.877,4447,26.49,4586,98.4,0.583,63.83,43423326.13,43664143.98,12244.83,
Alagoinhas,2900702,alagoinhense,GUSTAVO AUGUSTO DE SOUZA CARMO,707.836,151055,213.40,160662,97.4,0.683,17.45,840580156.89,782264334.42,29621.32,
Alcobaça,2900801,alcobacense,GIVALDO MUNIZ,1477.929,24530,16.60,25494,96.5,0.608,28.17,162922726.47,153253002.14,15437.27,
Almadina,2900900,almadinense,MARCOS MARCIEL PINHEIRO DE JESUS,245.236,5218,21.28,5327,95.3,0.563,26.32,38709865.66,34875307.47,11924.08,
Amargosa,2901007,amargosense,GETÚLIO ALMEIDA SAMPAIO,431.655,36521,84.61,38478,96.8,0.625,22.61,208610818.99,192302445.1,12327.08,
Amélia Rodrigues,2901106,ameliense,JOÃO MANOEL BAHIA MENEZES,166.872,24138,144.65,24848,99.2,0.666,25.25,133823305.36,113394712.8,17505.45,
América Dourada,2901155,américo-douradense,JOELSON CARDOSO DO ROSARIO,822.373,15137,18.41,15583,96.6,0.561,21.62,98769492.68,88759450.11,10440.54,
Anagé,2901205,anageense,ROGERIO BONFIM SOARES,1899.683,25438,13.39,26715,96,0.540,11.24,108384047.92,97712828.03,10592.91,
Andaraí,2901304,andaraiense,WILSON PAES CARDOSO,1589.786,13080,8.22,13531,97.8,0.555,12.9,90351630.52,86737834,10254.35,
Andorinha,2901353,andorinhense,ADILBERTO EVANGELISTA DE SOUZA,1362.386,15012,11.02,15485,98,0.588,-,121609153.71,116922977.88,15500.25,
Angical,2901403,angicalense,MONICA MARIA RODRIGUES DAS CHAGAS DIAS,1530.645,13732,8.97,14178,96.9,0.625,5.99,79757919.9,72441033.86,13699.3,
Anguera,2901502,anguerense,MAURO SELMO OLIVEIRA VIEIRA,187.840,11031,58.73,11456,98.2,0.589,-,91424421.98,86303087.26,6927.47,
Antas,2901601,antense,ESSIONEIDE PIMENTEL DA SILVA MATOS,326.360,14206,44.43,15061,94.3,0.592,30.12,107837683.79,99940873.81,8179.38,
Antônio Cardoso,2901700,cardosense,JOCIVALDO BISPO DA CONCEIÇÃO DOS ANJOS,293.530,11146,37.97,11501,95.8,0.561,8.26,63958372.13,59977341.74,10644.2,
Antônio Gonçalves,2901809,antônio-gonçalvense,DJALMA DE FREITAS CARDOSO NETO,345.284,10862,31.46,11236,98.4,0.598,8.93,60949081.57,53828781.31,6917.74,
Aporá,2901908,aporense,CARINE DANTAS DE MENEZES,479.262,15922,33.22,16379,97.6,0.548,6.8,79635652.5,77698758,8332.08,
Apuarema,2901957,apuaremense,ROBERTO SANTOS AMORIM,150.830,6913,45.83,7114,95.9,0.552,-,74126840.5,70182906.18,10214.51,
Aracatu,2902005,aracatuense,BRAULINA LIMA SILVA,1489.803,13936,9.35,14422,97.7,0.581,5.68,86290714.7,73726411.82,11245.32,
Araçás,2902054,araçaense,AGAMENON OLIVEIRA COELHO,474.577,11557,24.35,11946,98.1,0.570,23.44,92796266.13,87628689.61,24447.56,
Araci,2902104,araciense,MARIA BETIVANIA LIMA DA SILVA,1496.245,48294,32.28,50336,97.4,0.534,13.38,327597263.2,365456968.39,8950.31,
Aramari,2902203,aramariense,ANTONIO LUIZ CARDOSO DANTAS,368.947,9833,26.65,10122,96.3,0.588,9.52,76965845.02,72375379.01,9008.7,
Arataca,2902252,arataquense,FERNANDO MANSUR GONZAGA,435.962,10191,23.38,10463,95.6,0.559,12.2,80818636.59,77841795.04,9308.59,
Aratuípe,2902302,aratuipense,ANTONIO MARCOS ARAUJO DE SOUZA,174.012,8677,49.86,8981,98.4,0.575,22.47,51079839.25,46583834.89,9038.92,
Aurelino Leal,2902401,aurelinense,RODRIGO CALAZANS DE ANDRADE,445.394,11179,25.10,11409,95.5,0.568,19.87,87790113.64,80111887.03,12365.87,
Baianópolis,2902500,baianopolense,WEUBE FEBRONIO DOS SANTOS,3321.755,13614,4.10,14110,98.7,0.589,18.29,95170786.37,83259813.4,18872.77,
Baixa Grande,2902609,baixa-grandense,ADROALDO DOS SANTOS RIBEIRO,967.514,18220,18.83,18680,97.2,0.585,-,96328915.55,88308322.76,9527.52,
Banzaê,2902658,banzaêense,PATRÍCIA NASCIMENTO ALMEIDA,409.507,11958,29.20,12309,98.1,0.579,7.75,104940842.89,103176479.64,8572.74,
Barra,2902708,barrense,ROMEU BATISTA PINTO JUNIOR,11428.112,51092,4.47,53528,97,0.557,14.53,190704876.3,31669403.96,7941.89,
Barra da Estiva,2902807,barrestivense,UILSON ROBSON SILVA ALVES,1657.413,26026,15.70,27582,96.8,0.575,13.3,113008010.35,110510866.77,18698.56,
Barra do Choça,2902906,barra-chocense,OBERDAM ROCHA DIAS,765.936,36539,47.71,38481,96.9,0.551,13.54,193412223.13,179854196.8,18602.26,
Barra do Mendes,2903003,barra-mendense,MANOEL GABRIEL DOS SANTOS,1436.299,13836,9.63,14345,97.5,0.630,17.34,75462934.26,70994306.02,8829.23,
Barra do Rocha,2903102,barra-rochense,JOSE LUIZ FRANCO RAMOS COSTA,214.411,5775,26.93,5920,95.7,0.577,35.09,56439130.18,54090006.15,14125.28,
Barreiras,2903201,barreirense,OTONIEL NASCIMENTO TEIXEIRA,8059.305,159734,19.84,170667,97.5,0.721,9.77,1016170714.21,928154402.75,44221.63,
Barro Alto,2903235,barro-altino,EVILAZIO JOAQUIM DE OLIVEIRA,414.510,13453,32.46,13911,98.4,0.607,16.26,64282569.7,62540610.4,7440.78,
Barrocas,2903276,barroquense,JOSE ALMIR ARAUJO QUEIROZ,207.297,15203,73.34,15743,98.7,0.610,9.52,116546752.18,130586161.26,21334.14,
Barro Preto,2903300,barro-pretense,JURACI DIAS DE JESUS,201.585,5833,28.94,5966,96.2,0.602,18.87,53993080.82,50758400.62,15044.1,
Belmonte,2903409,belmontense,IEDO JOSE MENEZES ELIAS,1920.642,20121,10.37,20567,96.5,0.598,12.55,115467649.08,105055993.69,15875.7,
Belo Campo,2903508,belo-campense,FIDELIS PEREIRA REIS,772.756,18412,23.83,19042,95.2,0.575,38.46,118948903.74,115830062.87,9968.92,
Biritinga,2903607,biritinguense,GILMÁRIO SOUZA DE OLIVEIRA,553.762,15146,27.35,15606,98,0.538,23.12,118460400.7,115390105.77,9096.16,
Boa Nova,2903706,boa-novense,LUCAS SANTOS MEIRA,848.857,13690,16.13,14052,97.2,0.567,21.9,64676862.84,57878621.13,9270.48,
Boa Vista do Tupim,2903805,tupinense,SAVIO BULCAO DOS SANTOS,2972.109,16873,5.68,17307,96.8,0.551,5.59,100663953.08,90022606.84,8399.59,
Bom Jesus da Lapa,2903904,lapense,EURES RIBEIRO PEREIRA,4114.491,65550,15.93,68704,95.7,0.633,17.32,368097258.87,359889029.42,19356.52,
Bom Jesus da Serra,2903953,bom-jesuense,WELTON SILVA ANDRADE,467.909,9730,20.79,10028,98.3,0.546,-,55731633.76,48849168.81,7162.09,
Boninal,2904001,boninalense,CELESTE AUGUSTA ARAUJO PAIVA,896.857,13622,15.19,14104,96.3,0.612,19.61,80005633.64,71792846.54,8127.31,
Bonito,2904050,bonitense,EDIVAM JOSE CEDRO DE SOUZA,791.276,15844,20.02,16393,97.6,0.561,15.08,124366729.97,103933360.15,15926.9,
Boquira,2904100,boquirense,ALAN MACHADO FRANÇA,1426.233,19322,13.55,19829,98.8,0.603,29.54,103751417.42,101721947.72,8800.66,
Botuporã,2904209,botuporãense,EDIMILSON ANTONIO SARAIVA,627.612,11024,17.56,11411,98.1,0.575,-,73231854.05,71541810.27,10949.08,
Brejões,2904308,brejoense,RICARDO CASTRO CERQUEIRA,518.566,12943,24.96,13272,97.9,0.597,22.06,81905063.56,77851224.25,10196.49,
Brejolândia,2904407,brejolandense,EDEZIO NUNES BASTOS,2247.208,9108,4.05,9377,98.4,0.592,12.5,54608055.49,48415039.29,11827.72,
Brotas de Macaúbas,2904506,brotense,ANTONIO KLEBER RIBEIRO,2520.817,11765,4.67,12169,97.6,0.570,38.22,76992737.61,68165346.65,9019.03,
Brumado,2904605,brumadense,FABRICIO ABRANTES PIRES DE SOUZA OLIVEIRA,2207.612,70510,31.94,74095,96.8,0.656,17.16,383365019.13,331698167.47,26432.55,
Buerarema,2904704,bueraremense,GERIVALDO SOUZA FREITAS,219.487,14804,67.45,15056,91.5,0.613,48.39,85241405.32,79960963.16,11436.46,
Buritirama,2904753,buritiramense,LÉO MIRANDA SÃO MATEUS,4046.736,19589,4.84,20212,97.3,0.565,32.52,117642449.42,103407330.2,7251.29,
Caatiba,2904803,caatibense,HUMBERTO DE ALMEIDA ANTUNES,512.436,6205,12.11,6224,89.9,0.561,-,42760943.36,42147617.39,12419.86,
Cabaceiras do Paraguaçu,2904852,cabaceirense,PEDRO ANDRÉ BRAZ SILVA SANTANA,222.027,16559,74.58,17039,98.8,0.581,29.54,116516940.76,110040779.28,7427.62,
Cachoeira,2904902,cachoeirano,ELIANA GONZAGA DE JESUS,394.894,29250,74.07,30550,97.8,0.647,19.35,132194040.28,0.01,14239.25,
Caculé,2905008,caculense,PEDRO DIAS DA SILVA,610.983,22462,36.76,23246,97.3,0.637,15.27,124155560.53,119488509.41,15563.12,
Caém,2905107,caenense,ARNALDO DE OLIVEIRA FILHO,540.908,10384,19.20,10729,98.8,0.546,9.43,75938776.97,71293401.15,10356.18,
Caetanos,2905156,caetanense,EDAS JUSTINO DOS SANTOS,767.146,11266,14.69,11500,96.9,0.542,7.69,72629038.72,68627196,6991.41,
Caetité,2905206,caetiteense,VALTÉCIO NEVES AGUIAR,2651.536,52012,19.62,54572,98.3,0.625,14.45,215422456.1,207378662.28,21464.71,
Cafarnaum,2905305,cafarnauense,CARLAN NOVAIS SENA XAVIER,643.660,17466,27.14,18039,98.6,0.584,13.51,117849948.28,106837295.55,11697.42,
Cairu,2905404,cairuense,HILDÉCIO ANTÔNIO MEIRELES FILHO,448.846,17761,39.57,18486,98.8,0.627,7.49,181231806.85,164306183.6,80656.9,
Caldeirão Grande,2905503,caldeirão-grandense,PEDRO HENRIQUE ARAUJO BEZERRA,458.312,13080,28.54,13566,97.8,0.573,25.81,90324372.76,89187037.22,7581.19,
Camacan,2905602,camacaense,PAULO CESAR BOMFIM DE OLIVEIRA,584.848,22579,38.61,22756,92.5,0.581,27.97,130449684.43,125178547.41,11067.74,
Camaçari,2905701,camaçariense,LUIZ CARLOS CAETANO,785.421,300372,382.43,319394,96.7,0.694,11.76,2513001333.76,2402430319.84,109866.84,
Camamu,2905800,camamuense,JAIRO PEREIRA CRUZ,839.702,30469,36.29,31775,96,0.565,18.42,156855850.49,151849710.13,13215.31,
Campo Alegre de Lourdes,2905909,campo-alegrense,TADEU DIAS DOS SANTOS,2914.575,30671,10.52,32377,98.3,0.557,18.15,177470167.71,172467197.48,10246.22,
Campo Formoso,2906006,campo-formosense,ELMO ALUIZIO VIEIRA NASCIMENTO,7161.827,71377,9.97,74894,98,0.586,13.9,458834190.04,475661229.59,28885.32,
Canápolis,2906105,canapolense,REGINALDO DE SOUZA PEREIRA,460.388,10225,22.21,10612,96.9,0.565,17.09,57521184.39,48535539.19,8764.22,
Canarana,2906204,canaraense,MARLEIDE BARBOSA DE OLIVEIRA,579.726,24206,41.75,24989,98.9,0.587,15.2,143432943.65,137421664,9778.68,
Canavieiras,2906303,canavieirense,PAULO CEZAR RAMOS CARVALHO,1334.284,32683,24.49,34343,94.9,0.590,9.93,140912219.09,146204586.79,12876.82,
Candeal,2906402,candealense,RENATO PEREIRA LIMA JUNIOR,447.578,7772,17.36,7969,98.2,0.587,25.97,43320408.52,40152585.86,8360.25,
Candeias,2906501,candeense,ERITON DOS SANTOS RAMOS,251.808,72382,287.45,75083,97.6,0.691,16.85,693427992.05,689858425.15,77650.5,
Candiba,2906600,candibense,REGINALDO MARTINS PRADO,433.642,13016,30.02,13425,98.3,0.591,7.87,71929915.39,63215677.04,9769.54,
Cândido Sales,2906709,cândido-salense,MAURÍLIO LEMOS DAS VIRGENS,1169.814,25247,21.58,26465,96.2,0.601,6.49,132693938.39,120330442.28,9819.28,
Cansanção,2906808,cansançãoense,VILMA ROSA DE OLIVEIRA GOMES,1351.891,37439,27.69,39556,98.6,0.557,12.07,272299645.9,264821712.76,10100.52,
Canudos,2906824,canudense,JILSON CARDOSO DE MACEDO,3565.377,16105,4.52,16662,98.6,0.562,-,112697258.83,104641682.97,9098.77,
Capela do Alto Alegre,2906857,capelense,LUIS ROMEU OLIVEIRA MASCARENHAS,629.586,10744,17.07,11055,98.6,0.599,10.53,80454859.59,77315138.99,11169.61,
Capim Grosso,2906873,capim-grossense,JOSÉ SIVALDO RIOS DE CARVALHO,464.776,33235,71.51,35228,96.2,0.621,20.1,189892289.41,169801519.79,18670.35,
Caraíbas,2906899,caraibense,RENATO LIMA DOS SANTOS,805.629,9940,12.34,10260,97.3,0.555,11.24,65069519.92,67012438.03,9955.16,
Caravelas,2906907,caravelense,ADAUTO RONALDO AZEVEDO DA COSTA,2377.889,20580,8.65,21229,95.4,0.616,15,142984493.15,140559807.06,16145.53,
Cardeal da Silva,2907004,cardinalense,ANTONIO AUGUSTO SALES DE JESUS,293.456,8365,28.51,8634,98.1,0.552,18.52,86679187.88,83744195.69,12530.82,
Carinhanha,2907103,carinhanhense,FRANCISCA ALVES RIBEIRO,2525.512,28869,11.43,30375,98.8,0.576,7.43,142461129.19,163540109.92,9910.07,
Casa Nova,2907202,casa-novense,ANISIO VIANA DE CASTRO NETO,9647.072,72086,7.47,75815,95.5,0.570,17.22,307969860.26,295173449.27,11975.02,
Castro Alves,2907301,castro-alvense,JADSON SOUZA CUNHA SOARES,713.789,24712,34.62,25471,95.9,0.613,14.76,171394808.51,158971491,12030.84,
Catolândia,2907400,catolandiano,GIOVANNI MOREIRA DOS SANTOS,702.504,3434,4.89,3560,98.4,0.582,25,29154887.86,26711351.28,22354.47,
Catu,2907509,catuense,NARLISON BORGES DE SALES,426.955,48148,112.77,50153,97.3,0.677,12.45,260773165.87,238246680.67,12592.64,
Caturama,2907558,caturamense,ANTÔNIO LEÃO BOMFIM,716.261,8841,12.34,9115,98.7,0.571,27.78,50632616.67,46472257.48,8412.58,
Central,2907608,centralense,JOSÉ WILKER ALENCAR MACIEL,566.974,16348,28.83,16849,98.9,0.596,18.75,95397679.34,82331056.35,8935.69,
Chorrochó,2907707,chorrochoense,UILDE IRLÃ DE OLIVEIRA,3005.319,10579,3.52,10929,96.6,0.600,15.27,78353218.25,69319702.61,9401.51,
Cícero Dantas,2907806,cícero-dantense,VINICIUS JOSE ARAUJO BORGES DE SOUZA,817.023,30907,37.69,32268,98,0.585,13.7,183280638.5,187745366.7,12258.65,
Cipó,2907905,cipoense,JOSE MARQUES DOS REIS,168.330,17230,102.36,17836,97.6,0.601,9.39,187482491.14,178609700.69,8929.66,
Coaraci,2908002,coaraciense,MILTON DIAS CERQUEIRA MICHELI SANTOS,274.500,17333,63.14,17663,95.1,0.613,21.39,99737686.28,92304445.44,11847.5,
Cocos,2908101,coquense,CLEWTON DOMINGUES DE SOUZA,10138.250,19151,1.89,19817,97,0.596,8.55,143179019.73,127036720.85,29725.02,
Conceição da Feira,2908200,conceiçoense,JOÃO PEDRO LABRIOLA CARDOZO,164.798,20800,126.22,21499,98.8,0.634,9.3,132123665.67,128647973.51,16397.98,
Conceição do Almeida,2908309,almeidense,RENATA SUELY NOGUEIRA DE SANTANA BARROS,284.836,15794,55.45,16184,95.6,0.606,23.95,90342422.24,77268294.04,11720.12,
Conceição do Coité,2908408,coiteense,MARCELO PASSOS DE ARAUJO,1015.251,67825,66.81,71316,97.9,0.611,9.16,271280783.86,252098585.03,13126.28,
Conceição do Jacuípe,2908507,conjacuipense,TANIA MARLI RIBEIRO YOSHIDA,114.869,35308,307.38,37409,98.4,0.663,11.17,222454253.82,226482193.72,82100.68,
Conde,2908606,condense,JOSÉ ANÍSIO ALMEIDA DE OLIVEIRA,931.106,23654,25.40,24434,96.8,0.560,7.14,138889982.93,131272473.66,11018.15,
Condeúba,2908705,condeubense,MICAEL BATISTA SILVEIRA,1348.039,17053,12.65,17571,98.1,0.582,6.54,100536685.16,92985437.3,9996.28,
Contendas do Sincorá,2908804,contendense,UELITON VALDIR PALMEIRA SOUZA,977.455,4333,4.43,4490,99,0.577,47.62,29954585.34,30763908.56,12615.63,
Coração de Maria,2908903,mariense,KLEY CARNEIRO LIMA,378.420,26692,70.54,28258,98.8,0.592,13.16,187951411.27,180150156.52,10109.67,
Cordeiros,2909000,cordeirense,DEVANI PEREIRA DA SILVA,523.640,7546,14.41,7763,98,0.579,13.51,48406107.99,46511977.68,8165.47,
Coribe,2909109,coribense,MURILLO FERREIRA VIANA,2665.141,13990,5.25,14464,97.7,0.600,16.04,113957508.86,95265471.39,11985.85,
Coronel João Sá,2909208,joão-saense,CARLOS FERNANDO OLIVA SILVEIRA,797.434,17056,21.39,17593,96,0.535,26.74,167619252.36,155217633.62,11271.2,
Correntina,2909307,correntinense,WALTER MARIANO MESSIAS DE SOUZA,11504.314,32457,2.82,34179,97.6,0.603,8.47,354603903.05,333974382.49,101729.95,
Cotegipe,2909406,cotegipano,BEATRIZ BATISTA RIBEIRO CALADO,4282.775,13063,3.05,13472,94.5,0.590,24.1,76033717.44,73587728.52,12456.61,
Cravolândia,2909505,cravolandense,CELSO COELHO DA SILVA,182.518,4415,24.18,4514,97.6,0.599,19.61,38138045.33,39690737.59,8577.98,
Crisópolis,2909604,crisopolense,LEANDRO DANTAS DE JESUS COSTA,636.609,19729,30.99,20343,96.1,0.543,8.58,182652988.75,150590011.5,9714.12,
Cristópolis,2909703,cristopolense,ERIVALDO CONEGUNDES DA CÂMARA,1052.837,13993,13.29,14514,98.3,0.614,5.78,77245716.99,65950095.08,11289.8,
Cruz das Almas,2909802,cruz-almense,EDNALDO JOSÉ RIBEIRO,139.117,60348,433.79,63203,97.2,0.699,12.77,245230803,246951766.03,16307.21,
Curaçá,2909901,curaçaense,ROBSON MURILO BOMFIM DA SILVA,5950.614,34180,5.74,36021,97.4,0.581,11.7,187512131.95,181853516.12,10130.36,
Dário Meira,2910008,dário-meirense,MARIVANE DIAS SANTOS,413.637,10820,26.16,11094,93,0.540,37.31,74496733.89,82860574.48,12191.08,
Dias d'Ávila,2910057,diasdavilense,ALBERTO PEREIRA CASTRO,183.759,71485,389.01,75053,98,0.676,11.83,414888295.1,350952938.71,36442.65,
Dom Basílio,2910107,dom-basiliense,FERNANDO SILVA SANTOS,689.516,11884,17.24,12309,96.1,0.591,8.26,75527245.65,70398083.11,11587.29,
Dom Macedo Costa,2910206,macedense,ANTÔNIO DOS SANTOS FRÓES,94.778,4407,46.50,4588,99.3,0.632,-,37422213.07,33101433.57,10611.99,
Elísio Medrado,2910305,medradense,LINSMAR MOURA BITTENCOURT SANTOS,179.329,7808,43.54,8066,99.6,0.623,32.79,53933282.99,48756860.51,9439.42,
Encruzilhada,2910404,encruzilhadense,PEDRO ALVES DE LACERDA SOBRINHO,1890.133,19107,10.11,19535,95,0.544,8.97,106787913.29,108005566.19,16098.09,
Entre Rios,2910503,entrerriense,MANOELITO ARGOLO DOS SANTOS JUNIOR,1187.766,38098,32.08,39902,95.6,0.615,6.06,174030092.05,161515843.67,16224.35,
Esplanada,2910602,esplanadense,JOSE NAUDINHO ALVES DOS SANTOS,1299.355,32554,25.05,34146,97.7,0.589,16.79,246550854.73,204721350.97,19310.56,
Euclides da Cunha,2910701,euclidense,HELDER MACEDO DA SILVA,2025.368,61456,30.34,64547,97.8,0.567,8.93,378878280.14,376383152.87,13015.7,
Eunápolis,2910727,eunapolitano,JOSÉ ROBÉRIO BATISTA DE OLIVEIRA,1425.970,113710,79.74,120515,96.2,0.677,17.52,523975752.39,516890112.38,27765.39,
Fátima,2910750,fatimense,FABIO JOSE REIS DE ARAUJO,368.342,17895,49.11,18469,98.4,0.559,18.63,124828541.27,118156405.09,15735.76,
Feira da Mata,2910776,matense,VALMIR MACEDO RODRIGUES,1176.504,5631,4.79,5825,97.5,0.588,37.74,42732294.92,37099492.39,11153.59,
Feira de Santana,2910800,feirense,JOSE RONALDO DE CARVALHO,1304.425,616272,472.45,657948,97.4,0.712,10.54,2156596832.76,2257436721.6,27691.08,
Filadélfia,2910859,filadelfense,ANDRÉ LUIZ RIBEIRO MAIA,579.686,17897,30.87,18573,98.4,0.565,17.54,120339626.24,117453807.43,8543.03,
Firmino Alves,2910909,firmino-alvense,FABIANO DE JESUS SAMPAIO,172.353,4873,28.27,5006,95,0.578,-,53002519,49847915.93,12562.8,
Floresta Azul,2911006,floresta-azulense,HERMANIO LEONARDO SANTOS DA SILVA,321.013,11059,34.45,11442,92.8,0.557,13.16,55905078.79,49892026.2,9648.1,
Formosa do Rio Preto,2911105,formosense,MANOEL AFONSO DE ARAÚJO,15634.328,25899,1.66,27421,97.3,0.618,17.41,339290818.5,281200091.99,176491.78,
Gandu,2911204,ganduense,DAIANA SANTOS SANTANA,229.661,32178,140.11,33938,96.8,0.632,7.16,236759118.6,231791954.59,14071.41,
Gavião,2911253,gavionense,LAURINDO NAZÁRIO DA SILVA,384.592,4360,11.34,4493,98.8,0.599,-,41241896.4,39448020.68,11301.64,
Gentio do Ouro,2911303,gentiense,CICERO ELIZEU OLIVEIRA DA FRANCA,3817.946,10884,2.85,11263,97.9,0.559,9.17,108433929.28,106386111.64,11827.29,
Glória,2911402,gloriense,ENA VILMA PEREIRA DE SOUZA NEGROMONTE,1566.609,15524,9.91,16072,97.4,0.593,5.59,89510431.83,89154427.65,16667.38,
Gongogi,2911501,gongogiense,ADRIANO MENDONÇA PINHEIRO,202.194,5555,27.47,5567,96.8,0.576,29.85,55290287.34,51534816.23,11159.75,
Governador Mangabeira,2911600,mangabeirense,MANUELA PEDREIRA RODRIGUES SILVA,106.848,20605,192.84,21314,95.6,0.643,16.88,122743733.14,110123192.29,10672.92,
Guajeru,2911659,guajeruense,JILVAN TEIXEIRA RIBEIRO,872.867,8050,9.22,8225,97.1,0.569,-,52861146.13,47753879.64,10780.99,
