Piauí | Todos os Municípios
Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Acauã,2200053,acauãnense,REGINALDO RAIMUNDO RODRIGUES,1280.838,6420,5.01,6515,97.5,0.528,24.39,38794003.1,35941654.43,10332.99,
Agricolândia,2200103,agricolandiense,MARCOS ANTONIO CARVALHO DE SOUSA,112.392,4940,43.95,5023,97.5,0.599,-,42232174.25,39774199.27,9229.59,
Água Branca,2200202,água-branquense,JOSE RIBEIRO DA CRUZ JUNIOR,96.842,17573,181.46,18033,98.6,0.639,8.3,128040406.73,107175427.35,13921.29,
Alagoinha do Piauí,2200251,alagoinhense,PEDRO OTACILIO DE SOUSA MOURA,535.890,6819,12.72,6901,93.6,0.531,-,33681791.03,31291090.71,8523.28,
Alegrete do Piauí,2200277,alegretense,MARCIO WILLIAN MAIA ALENCAR,243.732,4634,19.01,4713,96.7,0.585,18.18,37896891.52,33969541.53,9791.41,
Alto Longá,2200301,longaense,BELAUTO MOREIRA TORRES,1743.331,13479,7.73,13734,97.9,0.585,16.39,62800543.98,61022209.19,9112.43,
Altos,2200400,altoense,MAXWELL PIRES FERREIRA,957.232,47453,49.57,49637,97.6,0.614,20.91,237822934.6,240687827.29,13219.3,
Alvorada do Gurguéia,2200459,alvoradense,LECIO GUSTAVO SOUSA BEZERRA,2131.506,5322,2.50,5459,97.4,0.578,-,40811020.47,36064302.95,15016.43,
Amarante,2200509,amarantino,ADRIANO DA GUIA DA SILVA,1152.127,17234,14.96,17577,97.2,0.598,34.63,107624630.45,98479276.18,10937.14,
Angical do Piauí,2200608,angicalense,BRUNO FERREIRA SOBRINHO NETO,222.008,6827,30.75,6982,96.9,0.630,32.26,45929670.16,41057399.07,9846.26,
Anísio de Abreu,2200707,anisiense,RAMON RUBEN DE MACÊDO,337.877,9407,27.84,9631,98.3,0.594,54.05,61904330.32,60738251.89,9900.44,
Antônio Almeida,2200806,antônio-almeidense,MARCELO TOLEDO LAURINI,644.800,3152,4.89,3228,99.6,0.620,-,43082685,38679476.33,45295.91,
Aroazes,2200905,aroazense,MANOEL PORTELA DE CARVALHO NETO,821.212,5369,6.54,5433,98.9,0.583,63.83,45786173.24,43019223.64,9847.89,
Aroeiras do Itaim,2200954,aroeirense,FRANCISCO MARCIANO MACEDO,316.235,2690,8.51,2766,94.2,0.519,55.56,29477625.29,27326383.77,9652.94,
Arraial,2201002,arraialense,ALDEMES BARROSO DA SILVA,682.727,4520,6.62,4593,97.7,0.560,17.54,44515225.72,40560184.23,10380.26,
Assunção do Piauí,2201051,assunçãoense,JOVELINO SOARES DA SILVA,1690.703,7452,4.41,7597,97.9,0.499,11.24,57396725.95,58492648.03,8156.68,
Avelino Lopes,2201101,avelino-lopense,FLÁVIO JOSÉ ALVES,1220.371,10866,8.90,11106,97.2,0.554,13.16,68038254.48,66810149.12,8590.91,
Baixa Grande do Ribeiro,2201150,baixagrandense do ribeiro,JOSÉ LUIS SOUSA,7808.915,13272,1.70,13838,96.4,0.564,11.24,172465795.6,146995258.95,150504.56,
Barra D'Alcântara,2201176,barra d’alcantarense,MARDONIO SOARES LOPES,263.943,3995,15.14,4091,96,0.577,37.04,33105961.36,31123237.47,9856.65,
Barras,2201200,barrense,EDILSON SÉRVULO DE SOUSA,1722.507,47938,27.83,49533,97.5,0.595,13.89,250231568.64,233731649.93,10520.51,
Barreiras do Piauí,2201309,barreirense,MANOEL AROLDO BARREIRA FILHO,2168.713,3264,1.51,3334,98.5,0.557,40,36917387.39,32760195.97,48620.97,
Barro Duro,2201408,barro-durense,ELOI PEREIRA DE SOUSA,159.436,6640,41.65,6744,96.9,0.612,18.52,43685215.28,45319009.4,12792.63,
Batalha,2201507,batalhense,JOSÉ LUIZ ALVES MACHADO,1589.011,26300,16.55,27123,99.2,0.545,6.56,121082852.8,111467384.79,9305.89,
Bela Vista do Piauí,2201556,bela  vistense,FRANCISCO DE SOUSA NETO,499.092,4091,8.20,4208,97.6,0.576,-,31507440.85,26411611.22,11591.5,
Belém do Piauí,2201572,belenense,JÔNATHAS DE CARVALHO NORONHA,243.234,3423,14.07,3508,97,0.551,31.25,42169935.72,39221026.61,11440.06,
Beneditinos,2201606,beneditinense,TALLES GUSTAVO MARQUES RODRIGUES,937.098,9929,10.60,10104,97.2,0.557,10.31,71498506.99,67701879.55,8769.43,
Bertolínia,2201705,bertolinense,RODRIGO DA ROCHA MARTINS,1216.116,5562,4.57,5701,97.6,0.612,-,47530601.53,44060977.42,13091.16,
Betânia do Piauí,2201739,betanhense,IJOSEVAN COELHO DAMASCENO,579.576,6220,10.73,6368,97,0.489,18.18,47065116.76,43658110.32,10067.79,
Boa Hora,2201770,boa horense,DOMINGOS COELHO DE RESENDE,336.954,6902,20.48,7108,99,0.575,33.71,43718675.66,38898894.17,9127.74,
Bocaina,2201804,bocainense,GUILHERME PORTELA DE DEUS MACÊDO,261.651,4078,15.59,4131,97.4,0.632,54.05,33261154.12,33706113.23,10594.7,
Bom Jesus,2201903,bom-jesuense,NESTOR RENATO PINHEIRO ELVAS,5471.023,28796,5.26,30321,97.9,0.668,10.14,231497160.58,221979240.82,55119.81,
Bom Princípio do Piauí,2201919,bomprincipiense,FRANCISCO APOLINARIO COSTA MORAES,523.142,5636,10.77,5786,97.7,0.532,29.85,35732436.58,34387669.23,12374.89,
Bonfim do Piauí,2201929,bonfinense,PAULO HENRIQUE RIBEIRO,289.149,5913,20.45,6089,97.6,0.542,26.32,38205675.18,35988883.22,9288.55,
Boqueirão do Piauí,2201945,boqueirãoense,GENIR FERREIRA DA SILVA,269.786,6545,24.26,6728,98.8,0.560,12.35,38780366.9,36702498.6,8028.09,
Brasileira,2201960,brasileirense,RANIERI MAZZILLE RAMOS DE MENESES,880.836,8436,9.58,8658,96.7,0.577,-,64061639.33,62699858.56,8288.44,
Brejo do Piauí,2201988,brejense,FABIANO FEITOSA LIRA,2267.326,3904,1.72,3969,98,0.515,20.41,41228683.76,39327788.84,11500.45,
Buriti dos Lopes,2202000,buritiense,LAURA ROSA COLLINS DE OLIVEIRA PORTELA,690.540,19654,28.46,20096,97.5,0.565,-,150874502.44,150259478.71,10828.33,
Buriti dos Montes,2202026,buritiense,JOSÉ OLAVO MARINHO DE LOIOLA JÚNIOR,2437.329,7434,3.05,7538,98.3,0.574,18.52,69534868.82,62151756.71,8414.58,
Cabeceiras do Piauí,2202059,cabeceirense,JOSE DA SILVA FILHO,608.747,10212,16.78,10449,98.3,0.583,-,67715445.82,58587546.03,8071.8,
Cajazeiras do Piauí,2202075,cajazerense,CARLOS ALBERTO SILVESTRE DE SOUSA,514.106,3108,6.05,3146,99.2,0.562,20,35917628.36,38061631.88,9532.17,
Cajueiro da Praia,2202083,pratense,FELIPE DE CARVALHO RIBEIRO,271.165,7957,29.34,8203,95,0.546,17.7,52895475.75,48491003.55,14976.18,
Caldeirão Grande do Piauí,2202091,caldeirão grandense,DOUGLAS FILIPE SOUSA GONÇALVES,467.082,5503,11.78,5605,98.1,0.588,29.41,56168919.81,50074307.67,33715.63,
Campinas do Piauí,2202109,campinense,JOMÁRIO FERREIRA DOS SANTOS,783.843,4938,6.30,4988,97.8,0.544,23.81,48306911.43,41573498.39,10216.08,
Campo Alegre do Fidalgo,2202117,campo alegrense,JEAN CARLOS BRAGA RIBEIRO,657.796,4616,7.02,4701,97.5,0.537,19.23,37527852.11,36306056.48,10086.52,
Campo Grande do Piauí,2202133,campo grandense,FRANCISCO JOSE BEZERRA,311.682,6020,19.31,6188,98.5,0.560,33.9,36156127.21,32054281.57,10378.37,
Campo Largo do Piauí,2202174,campolargoense,JAIRO SOARES LEITAO,478.078,7419,15.52,7636,97.2,0.528,31.25,53736420.11,50149073.75,7702.79,
Campo Maior,2202208,campo-maiorense,JOÃO FÉLIX DE ANDRADE FILHO,1680.861,45793,27.24,47074,98.3,0.656,17.31,299102038.74,289777004.67,15034.35,
Canavieira,2202251,canavieirense,ERIKA DE ALBUQUERQUE FONSECA,2165.277,3414,1.58,3429,99.6,0.583,32.26,26858727.17,23572875.48,10652.17,
Canto do Buriti,2202307,canto-buritiense,MARCUS FELLIPE NUNES ALVES,4325.643,19365,4.48,19669,96.6,0.576,15.81,104766836.57,95970421.03,12725.69,
Capitão de Campos,2202406,capitão-de-campense,MARIA ERONEIDE DOS SANTOS GOMES,571.658,11100,19.42,11347,98.6,0.583,17.39,74274116.66,69202484.77,9276.42,
Capitão Gervásio Oliveira,2202455,gervasense,RAIMUNDO COELHO,1132.995,3974,3.51,4065,98.7,0.553,-,36496921.12,35491865.38,10582.72,
Caracol,2202505,caracolense,RANILETTI CARVALHO DE MACÊDO,1610.959,10318,6.40,10538,96.6,0.552,13.25,76934851.29,76994279.08,8855.03,
Caraúbas do Piauí,2202539,caraubense,ANDRESSA MARIA LEAL DE SOUSA,471.216,5630,11.95,5755,93.9,0.505,30.3,34483901.17,34566985.9,9718.63,
Caridade do Piauí,2202554,caridadense,CLEIVANILSON JOSÉ DE CARVALHO,498.793,5033,10.09,5162,99.4,0.541,27.03,58401891.13,62273712.04,9806.1,
Castelo do Piauí,2202604,castelense,JOSE SOARES DE ABREU JÚNIOR,2378.847,19288,8.11,19663,98,0.587,4.76,110505640.7,105669369.67,10267.96,
Caxingó,2202653,caxingoense,MAGNUM FERNANDO CARDOSO DOS SANTOS,491.093,5496,11.19,5657,96.8,0.488,25.32,42841441.58,37275656.88,9702.47,
Cocal,2202703,cocalense,CRISTIANO FELIPPE DE MELO BRITTO,1294.132,28212,21.80,29209,96.2,0.497,10.81,135483024.72,126441314.73,9776.23,
Cocal de Telha,2202711,cocatelhense,KARYNE ARAGÃO CANSANÇÃO,310.291,4911,15.83,5034,98.8,0.555,19.23,39513419.29,34295918.49,9568.33,
Cocal dos Alves,2202729,cocalalvense,WODSON GIAN SILVA VIEIRA,324.856,6386,19.66,6569,96.3,0.498,34.09,41699136.82,34938720.03,9216.79,
Coivaras,2202737,coivarense,JOÃO DA CRUZ MOURÃO,484.460,4117,8.50,4233,98.1,0.565,40.82,36143271.72,33601815.53,9324.45,
Colônia do Gurguéia,2202752,coloniense,LISIANE FRANCO ROCHA ARAÚJO,429.591,6150,14.32,6287,98.8,0.628,12.99,50729750.89,46958072.63,10780.57,
Colônia do Piauí,2202778,coloniense,SELINDO MAURO CARNEIRO TAPETI SEGUNDO,950.193,6994,7.36,7088,98.6,0.588,12.5,32946213.17,30400196,8886.02,
Conceição do Canindé,2202802,conceiçãonense,DIOGO JANES DE OLIVEIRA,824.729,4932,5.98,5063,96.8,0.589,-,36927003.87,32488284.02,12564.06,
Coronel José Dias,2202851,coronelino,VICTOR CESAR DE CARVALHO,1926.103,4250,2.21,4305,96.9,0.546,18.18,39819743.33,38037169.32,8694.47,
Corrente,2202901,correntino,FILEMON JOSÉ FRANCISCO DE SOUZA NOGUEIRA PARANAGUÁ,3048.747,27278,8.95,28275,97.3,0.642,17.94,154420982.28,149833164.45,25426.51,
Cristalândia do Piauí,2203008,cristalandense,MOISÉS DA CUNHA LEMOS FILHO,1202.896,7356,6.12,7454,96.9,0.573,10.64,54561188.63,52748362.72,8990.27,
Cristino Castro,2203107,cristino-castrense,FELIPE FERREIRA DIAS,1845.697,10503,5.69,10772,97.9,0.566,14.29,80446362.34,79335106.66,11616.02,
Curimatá,2203206,curimataense,JOSE ADELMO DA SILVA,2344.949,11270,4.81,11552,97.6,0.607,45.71,68274529.17,65157472.49,12336.59,
Currais,2203230,curralense,RAIMUNDO MARTINS DE SOUSA SANTOS SOBRINHO,3156.657,4854,1.54,4968,98.6,0.542,-,60684489.63,59212580.17,82098.16,
Curralinhos,2203255,curralinhense,EVERARDO LIMA ARAUJO,345.811,4413,12.76,4527,84.7,0.555,37.74,38416565.58,37497849.2,8862.51,
Curral Novo do Piauí,2203271,curral novense,EDGAR FRANCISCO DO NASCIMENTO JUNIOR,755.251,5073,6.72,5185,95.6,0.527,21.74,57584401.98,52523593.16,14544.26,
Demerval Lobão,2203305,morrinhense,LUIS GONZAGA DE CARVALHO JUNIOR,216.807,16352,75.42,16998,97.9,0.618,29.05,106847736.57,98800225.22,15267.54,
Dirceu Arcoverde,2203354,arcoverdense,WALLACE RAMON CAFÉ E SILVA,1005.571,7054,7.01,7238,97.5,0.561,12.66,51822415.21,51028883.63,9578.83,
Dom Expedito Lopes,2203404,dom-expedito-lopense,ABIMAEL JOSÉ DO NASCIMENTO LIMA,218.808,6320,28.88,6421,98.5,0.601,42.25,38082435.41,37426792.72,11245.65,
Domingos Mourão,2203420,domingos-mouronense,MARIA IRINELDA GOMES DE OLIVEIRA SILVA,848.705,4075,4.80,4138,95.8,0.550,-,39774120.93,36698142.72,10692.03,
Dom Inocêncio,2203453,inocentino,FERNANDE RIBEIRO DE CASTRO FILHO,3871.824,9159,2.37,9335,98.4,0.549,9.52,35917628.36,38061631.88,17165.89,
Elesbão Veloso,2203503,elesbonense,JOSÉ RONALDO GOMES BARBOSA,1383.976,13607,9.83,13786,98.9,0.580,15.75,71618205.98,65471578.3,11321.73,
Eliseu Martins,2203602,eliseu-martinino,MARCOS AURÉLIO GUIMARÃES DE ARAUJO,1097.790,4377,3.99,4435,98.4,0.595,-,34323259.74,30579229.37,11246.54,
Esperantina,2203701,esperantinense,IVANARIA DO NASCIMENTO ALVES SAMPAIO,908.748,40970,45.08,42510,97.5,0.605,11.38,194483890.67,201712084.16,11427.08,
Fartura do Piauí,2203750,farturense,ORLANDO COSTA CAMPINHO BRAGA,713.046,5284,7.41,5414,96.3,0.548,12.99,44749431.66,42633085.03,8775.69,
Flores do Piauí,2203800,florentino-do-piauí,EVANDRO FERREIRA DA COSTA,946.719,4414,4.66,4508,99,0.547,20.83,35438696,31864080.21,10786.85,
Floresta do Piauí,2203859,florestense,CLAUDIONOR URBANO DE OLIVEIRA,223.199,2333,10.45,2364,99.3,0.538,-,37833392.67,40203218.84,9862.71,
Floriano,2203909,florianense,ANTÔNIO REIS NETO,3407.979,62036,18.20,64150,98.1,0.700,10.55,349745159.78,322005149.61,24441.02,
Francinópolis,2204006,francinopolitano,ANTÔNIO LUIZ DANTAS DA FONSECA,268.704,4505,16.77,4517,97.5,0.564,-,39220771.24,35025971.41,8381.02,
Francisco Ayres,2204105,airense,EUGÊNIA DE SOUSA NUNES,656.475,4412,6.72,4494,98.1,0.577,-,35045406.95,31648895.64,10875.11,
Francisco Macedo,2204154,francisco macedense,ADEILSON ANTÃO DE CARVALHO,179.245,2929,16.34,2986,97.8,0.553,24.39,35814551.26,29600257.4,10211.77,
Francisco Santos,2204204,francisco-santense,JOSÉ EDSON DE CARVALHO,492.191,8237,16.74,8366,97.4,0.608,22.73,41514282.7,42937928.96,8811.07,
Fronteiras,2204303,fronteirense,EUDES AGRIPINO RIBEIRO,777.179,10259,13.20,10382,97.5,0.619,24.1,72231036.22,68067818.41,9619.68,
Geminiano,2204352,geminianense,FRANCISCO JAILLSON DA SILVA CAMPOS,440.606,5445,12.36,5587,97,0.561,14.93,34838999.98,32805477.13,10818.51,
Gilbués,2204402,gilbuense,AMILTON LUSTOSA FIGUEREDO FILHO,3495.692,10892,3.12,11166,93.7,0.548,5.18,86359959.9,83546956.69,38969.38,
Guadalupe,2204501,guadalupense,JESSE JAMES LIMA MIRANDA,1026.539,10270,10.00,10478,98.8,0.650,17.05,76630026.75,77178591.67,60708.08,
Guaribas,2204550,guaribano,JOÉRCIO MATIAS DE ANDRADE,3118.231,4276,1.37,4350,98.2,0.508,25,38693316.8,33864109.4,9861.95,
Hugo Napoleão,2204600,hugo-napoleonense,LUCIANO BARRETO DE CARVALHO FILHO,224.573,3518,15.67,3562,96.8,0.599,81.08,31686332.94,31190193.56,8779.97,
Ilha Grande,2204659,ilhagrandense,MARINA DE OLIVEIRA BRITO,129.696,9274,71.51,9501,98.1,0.563,15.63,51705182.18,48276855,12619.94,
Inhuma,2204709,inhumense,ELBERT HOLANDA MOURA,978.222,14958,15.29,15259,98.8,0.624,20,72272664.2,71275980.22,10673.42,
Ipiranga do Piauí,2204808,ipiranguense,FRANCISCO ELVIS RAMOS VIEIRA,529.417,9420,17.79,9620,94.9,0.630,10.1,54464556.78,49897788.51,8356.14,
Isaías Coelho,2204907,isaiense,WALDEMAR MAURIZ FILHO,800.688,7774,9.71,7886,95,0.582,-,51644298.91,44387826.7,9414.86,
Itainópolis,2205003,itainopolense,MIGUEL RODRIGUES DE MOURA,827.620,10790,13.04,10980,97.1,0.541,19.42,62999327.37,60798898.9,9350.28,
Itaueira,2205102,itaueirense,OSMUNDO DE MORAES ANDRADE,2554.179,10323,4.04,10493,98.7,0.583,9.35,58030817.3,55219809.67,11946.42,
Jacobina do Piauí,2205151,jacobinense,VANDERLEI RAIMUNDO DE CARVALHO,1333.796,5613,4.21,5715,97.7,0.535,-,65472036.35,65292918.99,12078.34,
Jaicós,2205201,jaicoense,JOSE WESLLY DE OLIVEIRA BISPO,866.788,17527,20.22,17811,95.1,0.524,29.13,101471761.29,91573337.23,9970.93,
Jardim do Mulato,2205250,jardimulatense,DEJAIR LIMA DE SOUSA,510.226,4180,8.19,4251,98.9,0.593,47.62,36862500.19,33390087.23,8764.19,
Jatobá do Piauí,2205276,jatobaense,RAIMUNDO NONATO GOMES DE OLIVEIRA,650.393,4494,6.91,4568,98.9,0.566,-,33468590.57,30822658.54,12026.02,
Jerumenha,2205300,jerumenhense,JOSÉ INÁCIO PEREIRA DA SILVA JÚNIOR,1865.940,4497,2.41,4600,97.4,0.591,33.33,35845738,32371790.2,14298.42,
João Costa,2205359,joão costense,GILSON CASTRO DE ASSIS,1800.230,2970,1.65,3031,96.9,0.561,27.78,36513413.6,33338553.4,23073.1,
Joaquim Pires,2205409,joaquim-pirense,DEYVISON GONÇALVES CRUZ,740.561,13886,18.75,14175,96.2,0.522,11.43,78068166.95,76866251.72,8258.82,
Joca Marques,2205458,jocamarquense,FABIANNA SPINDOLA MARQUES,169.005,5394,31.92,5535,97.2,0.504,58.82,35913208.79,36834379.01,8423.08,
José de Freitas,2205508,freitense,PEDRO GOMES DOS SANTOS FILHO,1538.172,42559,27.67,44391,98.7,0.618,17.61,182326553.34,216377198.49,9902.38,
Juazeiro do Piauí,2205516,juazeirense,JOSE WILSON PEREIRA GOMES,935.404,5214,5.57,5311,99.1,0.570,18.87,42227553.83,39412309.06,10209.14,
Júlio Borges,2205524,julio borgense,JOÃO PAULO PEREIRA E SILVA,1283.916,5388,4.20,5499,98.6,0.582,26.67,47833684.16,45519911.76,14292.17,
Jurema,2205532,juremense,KAYLANNE DA SILVA OLIVEIRA,1271.881,4425,3.48,4505,99.2,0.555,39.47,49446452.55,45194406.16,9095.2,
Lagoinha do Piauí,2205540,lagoinense,KELLY ALVES ALENCAR,67.649,2939,43.44,3029,96.9,0.597,-,25868159.44,23089548.38,14117.98,
Lagoa Alegre,2205557,lagoalegrense,OSAEL MOITA LEAL,394.205,8256,20.94,8449,97.8,0.550,51.55,60693041.29,61889505.36,8979.51,
Lagoa do Barro do Piauí,2205565,lagoa do barrense,REGINALDO APARECIDO COSTA COELHO,1331.025,4995,3.75,5146,94.7,0.502,-,84809992.54,76832269.15,114788.12,
Lagoa de São Francisco,2205573,lagoense,JOÃO ARILSON DE MESQUITA BEZERRA,155.860,6331,40.62,6449,98.3,0.529,-,50382586.64,47041712.22,8091.31,
Lagoa do Piauí,2205581,lagoense,CAMILA BARBOSA SOUSA OLIVEIRA,427.841,4810,11.24,5009,98.9,0.583,18.18,34246538.36,32162367.49,18505.9,
Lagoa do Sítio,2205599,sitiolagoense,JOSE SAVIO DE MOURA E SILVA,805.018,4520,5.61,4575,96.6,0.541,19.23,37133734.04,35234243.02,9311.16,
Landri Sales,2205607,landri-salesiano,DELISMON SOARES PEREIRA,1088.583,5213,4.79,5311,98.7,0.584,35.09,50855179.87,47069482.84,20826.76,
